Wavenumber(cm^-1),2.0MLs101,2.0MLp101,2.0MLs010,2.0MLp010
1155.21009,9.646E-7,1.325E-6,-3.0789E-6,4.1056E-6
1157.13866,-3.147E-7,6.885E-7,-2.9227E-6,2.4769E-6
1159.06722,-6.067E-7,-1.4525E-6,-4.5E-8,8.445E-7
1160.99579,-6.301E-7,-3.8284E-6,3.0889E-6,1.6846E-6
1162.92435,9.67E-8,-4.3353E-6,5.4778E-6,2.7345E-6
1164.85292,1.3422E-6,-1.7426E-6,5.2218E-6,1.392E-6
1166.78148,1.8854E-6,2.6173E-6,2.2085E-6,-5.75E-8
1168.71004,1.658E-6,5.2129E-6,-6.47E-8,6.199E-7
1170.63861,1.3234E-6,3.5849E-6,1.844E-7,2.3247E-6
1172.56717,1.0119E-6,-5.87E-7,1.2655E-6,3.8076E-6
1174.49574,-3E-9,-3.9798E-6,1.84E-6,4.316E-6
1176.4243,-1.8611E-6,-6.1269E-6,2.3729E-6,2.6884E-6
1178.35287,-3.2797E-6,-8.5934E-6,3.3444E-6,1.3183E-6
1180.28143,-2.9255E-6,-9.0514E-6,4.9267E-6,2.2399E-6
1182.21,-1.6726E-6,-5.1717E-6,6.2613E-6,1.8577E-6
1184.13856,-9.56E-8,-7.695E-7,5.9284E-6,-2.213E-7
1186.06712,2.3908E-6,3.108E-7,5.1594E-6,1.44E-8
1187.99569,4.2145E-6,-2.0577E-6,3.7815E-6,1.8767E-6
1189.92425,3.7389E-6,-4.4774E-6,-5.28E-7,3.2012E-6
1191.85282,1.9799E-6,-5.2131E-6,-3.7587E-6,3.7729E-6
1193.78138,9.241E-7,-7.1237E-6,-5.198E-7,2.6912E-6
1195.70995,1.7138E-6,-8.5203E-6,5.308E-6,-9.288E-7
1197.63851,2.9532E-6,-6.9033E-6,7.0056E-6,-4.3506E-6
1199.56708,1.8585E-6,-6.7579E-6,4.898E-6,-4.2508E-6
1201.49564,-8.572E-7,-8.8009E-6,1.7925E-6,-1.5524E-6
1203.4242,-1.6662E-6,-8.9761E-6,-1.4085E-6,1.9602E-6
1205.35277,-3.6E-8,-1.02895E-5,-2.4466E-6,4.3647E-6
1207.28133,8.127E-7,-1.56534E-5,-6.102E-7,6.568E-6
1209.2099,5.848E-7,-1.71445E-5,1.5793E-6,1.00137E-5
